user_input,reference_contexts,reference,synthesizer_name
What does Malit Jing do at WSO2 and how does he contribute to AI strategy?,"[""So I am both the track lead and the I'm a speaker as well. So looks like I have to introduce myself but I won't spend a lot of time on the introduction. So my name is Malit Jing. I'm the VP of research and VP of AI at WSO2. So I've been with WSO2 for nearly 10 years. I'm a both distributed systems and AI guy. So worked a lot on the distributor systems in the early part of the career. Now sort of moved into uh AI um so I worked very closely with the product teams and also helped to define the AI strategy for WSO2. So we have two sides of our AI strategy. One is we called AI for code which is about the developer experience and how we you know bring capabilities features into our products to improve the develop experience of the users who are using our products. The other one is we called code for AI and that is all about building AI applications. What are the abstractions that are needed to build these AI apps? So that is the AI gateways you know IM agents and so on right so let's get uh started um I think you can start the clock so um so what I'm going to be talking about today is the evolution of AI agents not the evaluation evolution right so I thought it would be a good idea to have a summary like this uh then I will link to uh today's uh presentation. So this is an art summary of an article that was uh why that one works right >> this one. >> Yeah. Okay. Summary of an article that was published by McKenzie. Uh uh so I've uh let me take you through these.""]","Malit Jing is the VP of research and VP of AI at WSO2. He has been with WSO2 for nearly 10 years and has worked extensively on distributed systems and AI. He works closely with product teams and helps define the AI strategy for WSO2, which includes 'AI for code' to improve the developer experience and 'code for AI' for building AI applications.",single_hop_specific_query_synthesizer
What changes were made to the WSO2 mobile app after the last WSO2 to con?,"[""ther two patterns which we have described earlier and the agents. Now let's try to define what an agent is. So the definition of an agent is sort of vague but this is our definition of an agent right? uh uh so uh so agent is a system or an entity uh you know that can perform task by interacting with tools now these tools can be APIs and databases and so on with the help of a large language model right uh right so let's take a look at this uh application which we have built so this is a WSO2 mobile app we were building this uh towards the uh last uh WSO2 to con. So it we had sort of a very you know static kind of app. It didn't have any you know AI experiences so any personalized experience. So what we wanted to do is to make it better by bringing some you know personalized feeling. So then we uh you we ended up adding various features. For example it it can now give you know this personalized schedule. You have a chatbot where you can interact with uh uh these u u by the way if you haven't updated I think there has been a recent update right so please go ahead and uh update the app. Yeah let's take a look at the architecture before and after. So what we had was uh on my uh on the left hand side which basically had only two flows. One is the registration flow where you go to a website and then you register right.""]","The WSO2 mobile app was initially a static app without AI or personalized experiences. After the last WSO2 to con, various features were added to enhance it, including a personalized schedule and a chatbot for interaction.",single_hop_specific_query_synthesizer
What is the role of the MCP hoast in agentic applications?,"[""it will go and do a search on the internet and it creates a personalized profile and and that agent uses two tools because remember the agents can uh you know interact with tools and perform actions. The first one is you call the surfer API where you will get set of links related to me right so I do a Google and then get a set of links and then you go and scrape the content which is what the second one do it's called scraper web scraper API right so this is not just two calls it happens times until it uh reset reaches its goal right so the next thing I want to talk about is multiple multi-agent systems but before that I want to briefly touch on MCP uh because this is something that we you know we all are aware of and we've discussed extensively in the AI labs now we know that there's an agent and there's set of tools which the agent is interacting with right so the problem that the MCP solves is MCP standardizes the way in which the AI applications s interact with these external tools, right? Uh now you can see the architecture here. So MCP has concepts like tools which is the same as the zoom tool that we were talking about resources prompts and and so on. We've discussed these things in the lab, right? So so uh so it's a specification and it introduces two new components to your agentic application. Uh first one is you call the MCP client right which the MCP host connect to.""]","The MCP host connects to the MCP client, which is one of the two new components introduced by the MCP specification to standardize the way AI applications interact with external tools.",single_hop_specific_query_synthesizer
How does the MCP server integrate with VS code?,"[""hings in the lab, right? So so uh so it's a specification and it introduces two new components to your agentic application. Uh first one is you call the MCP client right which the MCP host connect to. So you can see the MCP host MCP client and then the MCP server and then you have your set of APIs right. Uh so if you have to write this one on your own without the MCP then you have to connect each tool each of your you know uh agent to each of the tools by writing code right so when you have MCP what happens is for the developers they don't have to worry about making these connections so all they have to do is use the MCP client right and uh you can access the MCP server through the MCP client and get the functionality that you need. Right? So as far as the the people who wants to expose certain functionality so what does this provide? They don't have to worry about how it is being consumed by the clients. They will just build the MCP server which we will provide through our products as well. and then uh you can make it available so that uh MCP clients can consume. So let me see uh so there's a video here. All right, it works. So this is one of the recent MCP service which we have built. Uh so this is the MCP server for Coro which is WSO2's internal developer platform. Right. So and then we've gone and uh you know uh installed that one in VS code. So it is basically driving the full you know life cycle of this software development.""]","The MCP server for Coro, which is WSO2's internal developer platform, has been installed in VS code, driving the full life cycle of software development.",single_hop_specific_query_synthesizer
How does the integration of AI strategies at WSO2 enhance the developer experience and data integration capabilities?,"[""<1-hop>\n\nSo I am both the track lead and the I'm a speaker as well. So looks like I have to introduce myself but I won't spend a lot of time on the introduction. So my name is Malit Jing. I'm the VP of research and VP of AI at WSO2. So I've been with WSO2 for nearly 10 years. I'm a both distributed systems and AI guy. So worked a lot on the distributor systems in the early part of the career. Now sort of moved into uh AI um so I worked very closely with the product teams and also helped to define the AI strategy for WSO2. So we have two sides of our AI strategy. One is we called AI for code which is about the developer experience and how we you know bring capabilities features into our products to improve the develop experience of the users who are using our products. The other one is we called code for AI and that is all about building AI applications. What are the abstractions that are needed to build these AI apps? So that is the AI gateways you know IM agents and so on right so let's get uh started um I think you can start the clock so um so what I'm going to be talking about today is the evolution of AI agents not the evaluation evolution right so I thought it would be a good idea to have a summary like this uh then I will link to uh today's uh presentation. So this is an art summary of an article that was uh why that one works right >> this one. >> Yeah. Okay. Summary of an article that was published by McKenzie. Uh uh so I've uh let me take you through these."", ""<2-hop>\n\nan support several use cases such as text summarization, sentiment analysis, email drafting and so on. Right? Then you get to the situation where the models are not aware of the uh you know your data. So this is where the rag comes retrieval augmented generation where you can put your data into a knowledge base and at the retrieval time you can extract it and you can basically ground your responses with the data in this database right but if you take a look at uh the rag and genai uh integrations they are sort of more you know passive or reactive uh in the nature right? They they don't perform actions or you know uh they can do just the synthesis uh generation. They have the natural language understanding but uh that's probably it right. So what agents bring to the table is this proactiveness and being able to perform actions independently and autonomously. Right? So you can see in this sort of this diagram I try to identify the difference between the other two patterns which we have described earlier and the agents. Now let's try to define what an agent is. So the definition of an agent is sort of vague but this is our definition of an agent right?""]","At WSO2, the integration of AI strategies enhances the developer experience through the 'AI for code' initiative, which focuses on bringing capabilities and features into products to improve the user experience for developers. This involves incorporating AI to streamline tool connectivity and access functionalities within developer platforms. Additionally, the 'code for AI' strategy focuses on building AI applications, which involves creating necessary abstractions like AI gateways and IM agents. These strategies collectively support data integration by utilizing retrieval augmented generation (RAG) to ground responses with data from a knowledge base, thereby enhancing the proactiveness and autonomy of AI agents in performing actions independently.",multi_hop_abstract_query_synthesizer
"How does the A2A protocol facilitate agent-to-agent communication in AI applications, and what role does MCP play in standardizing AI applications?","[""<1-hop>\n\nSo I am both the track lead and the I'm a speaker as well. So looks like I have to introduce myself but I won't spend a lot of time on the introduction. So my name is Malit Jing. I'm the VP of research and VP of AI at WSO2. So I've been with WSO2 for nearly 10 years. I'm a both distributed systems and AI guy. So worked a lot on the distributor systems in the early part of the career. Now sort of moved into uh AI um so I worked very closely with the product teams and also helped to define the AI strategy for WSO2. So we have two sides of our AI strategy. One is we called AI for code which is about the developer experience and how we you know bring capabilities features into our products to improve the develop experience of the users who are using our products. The other one is we called code for AI and that is all about building AI applications. What are the abstractions that are needed to build these AI apps? So that is the AI gateways you know IM agents and so on right so let's get uh started um I think you can start the clock so um so what I'm going to be talking about today is the evolution of AI agents not the evaluation evolution right so I thought it would be a good idea to have a summary like this uh then I will link to uh today's uh presentation. So this is an art summary of an article that was uh why that one works right >> this one. >> Yeah. Okay. Summary of an article that was published by McKenzie. Uh uh so I've uh let me take you through these."", ""<2-hop>\n\n, uh what skill that this other agent has, what data format that I need to send it to, right? Uh and what it what does it return? What are the data types? Is it text, video, uh voice and so on, right? So this is where the uh A2A comes in. Uh by the way this is only one specific protocol. So A2A standardizes agentto agent communication and it A2A has uh various set of features to do this. First of all, it has a standardized communication the transport protocol which is JSNRPC and also there is other capabilities in A2A specification which will let you know other agents to get to know about one specific agent. So for example in A2A there is a concept called agent card where you can go and give a name description URL v version skills and ID description all of those stuff right uh so that is how uh A2A works so let me actually skip these slides I want to try to conclude this uh one properly right so let's try to uh summarize since we are getting to the end of the presentation right so we started off with jai right simple integrations and that's it and that wasn't enough then came the the rag which will let you ground the answers with the real data soon we needed agents right and uh okay by the way MCP came recently but multi- aents were there before so it's not exactly this Right. Um I'm trying to build the story from complexity smallest complexity to bigger. Right. So yes, MCP was there. MCP standardizes how the AI applications not necessarily agents.""]","The A2A protocol facilitates agent-to-agent communication by standardizing the communication transport protocol, specifically using JSNRPC, and providing features such as the agent card, which includes details like name, description, URL, version, skills, and ID. This allows agents to understand the skills and data formats required for interaction. MCP, on the other hand, plays a role in standardizing AI applications by providing a framework that supports the integration and functionality of AI applications, ensuring that they can operate effectively within developer platforms.",multi_hop_abstract_query_synthesizer
How do AI lab discussions address the challenges of agent security and hardware innovation in the context of improving scalability and transparency?,"['<1-hop>\n\n. So that will make sure that agents you know uh when you use agents like certain information is not getting leaked to models and all that. So this was discussed both in the APIM track and the AI lab. We also discussed uh securing agents again in the AI lab and uh in the track how to control uh you know because agents are becoming more and more autonomous and they are performing serious tasks right so there has to be a way to secure these agents and make sure that agents can only do what they can do so this is where we are bringing the agent identity into our IM products right so the another topic that is interesting testing is which is kind of becoming important is agents and SLMs which is something that we are also working on uh how to you know fine-tune these SLMs so that agents can work with them and get the level of accuracy that they need to have. So I think that would be it. Uh so and thank you very much. I would like to uh have Heat. Heat. [Music]', ""<2-hop>\n\neing able to reason and act and perform tasks third one is the multi- uh modality so it's not just the text that is been improved the text models been improved we are clearly seeing improvements in the other areas us as well. For example, video voice, right? If you've gone and talked to unitary dog outside, you know, the the interactions are becoming more natural and becoming real time and also the hardware uh innovation, right? So for the most part there's a lot of people are still having issues with scalability, right? Scaling AI is a big problem. So we are seeing like the the speed is improving and which is we been able to support these realtime uh extraction uh you know interactions and these capabilities being you know able to access on the cloud and also on the edge. The other one is transparency and explanability. So those who worked in this area you know like this is an issue anyway for machine learning right? So uh it is still an issue but we are clearly seeing progress. So there's this score called transparency score. I'm not sure whether you have heard of it. Basically it's a metric that will you know look at uh you know how transparent are these companies when it comes to training these models when in terms of the data or you know when the models respond and so on.""]","AI lab discussions focus on securing agents by ensuring they perform only authorized tasks, which is crucial as agents become more autonomous. This involves integrating agent identity into IM products and fine-tuning SLMs for accuracy. Additionally, hardware innovation is discussed as a means to improve scalability and support real-time interactions, addressing issues like transparency and explainability in AI models. These discussions highlight the importance of both software and hardware advancements in overcoming current challenges in AI development.",multi_hop_abstract_query_synthesizer
How does the MCP host connect to the MCP client and server to streamline tool connectivity in developer platforms like VS Code?,"[""<1-hop>\n\nit will go and do a search on the internet and it creates a personalized profile and and that agent uses two tools because remember the agents can uh you know interact with tools and perform actions. The first one is you call the surfer API where you will get set of links related to me right so I do a Google and then get a set of links and then you go and scrape the content which is what the second one do it's called scraper web scraper API right so this is not just two calls it happens times until it uh reset reaches its goal right so the next thing I want to talk about is multiple multi-agent systems but before that I want to briefly touch on MCP uh because this is something that we you know we all are aware of and we've discussed extensively in the AI labs now we know that there's an agent and there's set of tools which the agent is interacting with right so the problem that the MCP solves is MCP standardizes the way in which the AI applications s interact with these external tools, right? Uh now you can see the architecture here. So MCP has concepts like tools which is the same as the zoom tool that we were talking about resources prompts and and so on. We've discussed these things in the lab, right? So so uh so it's a specification and it introduces two new components to your agentic application. Uh first one is you call the MCP client right which the MCP host connect to."", ""<2-hop>\n\nhings in the lab, right? So so uh so it's a specification and it introduces two new components to your agentic application. Uh first one is you call the MCP client right which the MCP host connect to. So you can see the MCP host MCP client and then the MCP server and then you have your set of APIs right. Uh so if you have to write this one on your own without the MCP then you have to connect each tool each of your you know uh agent to each of the tools by writing code right so when you have MCP what happens is for the developers they don't have to worry about making these connections so all they have to do is use the MCP client right and uh you can access the MCP server through the MCP client and get the functionality that you need. Right? So as far as the the people who wants to expose certain functionality so what does this provide? They don't have to worry about how it is being consumed by the clients. They will just build the MCP server which we will provide through our products as well. and then uh you can make it available so that uh MCP clients can consume. So let me see uh so there's a video here. All right, it works. So this is one of the recent MCP service which we have built. Uh so this is the MCP server for Coro which is WSO2's internal developer platform. Right. So and then we've gone and uh you know uh installed that one in VS code. So it is basically driving the full you know life cycle of this software development.""]","The MCP host connects to the MCP client and server to streamline tool connectivity by standardizing the way AI applications interact with external tools. Developers use the MCP client to access the MCP server, which provides the necessary functionalities without the need to manually connect each tool. This setup is implemented in platforms like VS Code, allowing developers to focus on development rather than connectivity issues.",multi_hop_specific_query_synthesizer
"How does the A2A protocol facilitate agent-to-agent communication, and what role does it play in the evolution of multi-agent systems?","[""<1-hop>\n\ns not exactly this Right. Um I'm trying to build the story from complexity smallest complexity to bigger. Right. So yes, MCP was there. MCP standardizes how the AI applications not necessarily agents. It's any kind of AI applications. I wanted to point out that and then single agent wasn't enough. Then you need multi- aents to communicate. And then there's various patterns that are coming up supervisor pattern network hierarchical and and so on. Then you need a standard for these agents to uh communicate right. This is where the agent to agent protocols are coming up and A2A is one of them. So this evolution will continue right as agents become capable and autonomous more and more. So let's go to the next slide. Okay. So what did we not discuss which is important. So we didn't discuss in detail evaluation of agents which we can touch on the the panel uh discussion. We've discussed uh about guardrails. So that will make sure that agents you know uh when you use agents like certain information is not getting leaked to models and all that. So this was discussed both in the APIM track and the AI lab."", ""<2-hop>\n\n, uh what skill that this other agent has, what data format that I need to send it to, right? Uh and what it what does it return? What are the data types? Is it text, video, uh voice and so on, right? So this is where the uh A2A comes in. Uh by the way this is only one specific protocol. So A2A standardizes agentto agent communication and it A2A has uh various set of features to do this. First of all, it has a standardized communication the transport protocol which is JSNRPC and also there is other capabilities in A2A specification which will let you know other agents to get to know about one specific agent. So for example in A2A there is a concept called agent card where you can go and give a name description URL v version skills and ID description all of those stuff right uh so that is how uh A2A works so let me actually skip these slides I want to try to conclude this uh one properly right so let's try to uh summarize since we are getting to the end of the presentation right so we started off with jai right simple integrations and that's it and that wasn't enough then came the the rag which will let you ground the answers with the real data soon we needed agents right and uh okay by the way MCP came recently but multi- aents were there before so it's not exactly this Right. Um I'm trying to build the story from complexity smallest complexity to bigger. Right. So yes, MCP was there. MCP standardizes how the AI applications not necessarily agents.""]","The A2A protocol facilitates agent-to-agent communication by standardizing the communication process through a transport protocol known as JSNRPC. It includes features such as the 'agent card,' which provides information like name, description, URL, version, skills, and ID of an agent, allowing other agents to understand and interact with it effectively. A2A plays a crucial role in the evolution of multi-agent systems by providing a standardized method for communication as agents become more capable and autonomous. This evolution is part of a broader trend where single agents are no longer sufficient, necessitating the development of multi-agent communication protocols like A2A.",multi_hop_specific_query_synthesizer
"How does the SO2 internal developer platform facilitate the software development lifecycle within VS Code, and what role does it play in connecting agents to various tools?","[""<1-hop>\n\nSO2's internal developer platform. Right. So and then we've gone and uh you know uh installed that one in VS code. So it is basically driving the full you know life cycle of this software development. So here what happens is you go we have gone and develop a service. Okay it's gone that's fine u and you want to uh then push this service to coro right so it then does various tests. Have I logged into Coro? Does the project exist? If not, let's create it and does the component exist? If not, let's create the component. So, and then, you know, let's get the build pack and so on. So, it takes you through all of those steps and finally it will push to Coro and then you can deploy it there. Right? So, so we've gone from Genai to rags to agents to MCP. Now let's get to uh multi-agent systems, right? So if you take a look at a single agent, yes, they work fine. So what happens is the systems become bigger and bigger, right? So the then you want you get to a situation where you need to connect this agent to more and more tools. This works actually for many use cases.""]","The SO2 internal developer platform is integrated into VS Code to drive the full lifecycle of software development. It allows developers to develop a service and then push it to Coro, where it performs various tests such as checking if the user is logged into Coro, verifying the existence of the project and component, and creating them if necessary. It also involves obtaining the build pack and ultimately deploying the service to Coro. As systems grow larger, the platform supports the connection of agents to more tools, which is beneficial for many use cases, thereby streamlining tool connectivity and access functionalities within the development environment.",multi_hop_specific_query_synthesizer
