user_input,reference_contexts,reference,synthesizer_name
What insights did Nadish provide during the session on prompting techniques for advanced AI models?,"[""s is an art summary of an article that was uh why that one works right >> this one. >> Yeah. Okay. Summary of an article that was published by McKenzie. Uh uh so I've uh let me take you through these. So these are the key innovations which they identify uh as driving the current AI adaption. So first of all we see clearly uh the models are becoming more and more powerful right. So they are becoming experts. So you see in these tests that were given to these models such as SAT or for example this uh US medical exam GPT4 can achieve 90%. For that right and also at the same time reasoning capabilities are improving. So Nadish did a great uh session on the lab where we looked at different prompting techniques right. So there was things like coot chain of thought. uh now these things are no longer needed for these advanced models right so so a lot of stuff that we had to do when we write prompts now it's sort of moved to the the models right and also there is these models that are coming up like uh you know they can do very advanced uh uh reasoning like you know open AI's model right right so that's one area which is you really really you know improving and the second one is the today's topic which is the agentic I'm not going to go to the details of it so it's about you know agents being able to reason and act and perform tasks third one is the multi- uh modality so it's not just the text that is been improved the text models been improved we are clearly seeing improvements in th""]","Nadish conducted a session in the lab where different prompting techniques were explored. It was noted that advanced AI models have evolved to the point where techniques like chain of thought are no longer necessary, as many tasks have been integrated into the models themselves.",single_hop_specific_query_synthesizer
What is a transparency score in the context of AI models?,"[""eing able to reason and act and perform tasks third one is the multi- uh modality so it's not just the text that is been improved the text models been improved we are clearly seeing improvements in the other areas us as well. For example, video voice, right? If you've gone and talked to unitary dog outside, you know, the the interactions are becoming more natural and becoming real time and also the hardware uh innovation, right? So for the most part there's a lot of people are still having issues with scalability, right? Scaling AI is a big problem. So we are seeing like the the speed is improving and which is we been able to support these realtime uh extraction uh you know interactions and these capabilities being you know able to access on the cloud and also on the edge. The other one is transparency and explanability. So those who worked in this area you know like this is an issue anyway for machine learning right? So uh it is still an issue but we are clearly seeing progress. So there's this score called transparency score. I'm not sure whether you have heard of it. Basically it's a metric that will you know look at uh you know how transparent are these companies when it comes to training these models when in terms of the data or you know when the models respond and so on.""]","A transparency score is a metric that evaluates how transparent companies are regarding the training of AI models, including aspects such as data usage and model responses.",single_hop_specific_query_synthesizer
"How do transparency and observability play a role in the development of modern AI applications, and what are the implications for companies building these systems?","[""it's a metric that will you know look at uh you know how transparent are these companies when it comes to training these models when in terms of the data or you know when the models respond and so on. So these scores have gone up for entropic it's gone up from uh you know 15 to 51 right also those who are building these agentic uh systems putting more and more you know observability capabilities you know putting logs traces and so on. So if an agent does something then we have some level of you know understanding of what it does right okay oops right so bit about uh you know building modern AI applications so this is how we model this so uh so building modern AI applications is about you know uh connecting things together So the way we model this is you have to first build these AI components. I'll get to that in a minute. And then integrate these AI components with the other components uh that are in the system. Right? So if you take a look at building the AI components u that it itself is an integration problem for the most part. Right?""]","Transparency in AI development involves companies being open about how they train their models, including the data used and how the models respond. Observability is enhanced by incorporating capabilities such as logs and traces, which help in understanding the actions of AI agents. These practices are crucial for building modern AI applications, as they involve integrating AI components with other system components, and transparency and observability ensure a better understanding and management of these integrations.",single_hop_specific_query_synthesizer
"How does the integration of AI components play a crucial role in the development of specialized AI solutions, and what are the core patterns identified in this process?","[""these AI components with the other components uh that are in the system. Right? So if you take a look at building the AI components u that it itself is an integration problem for the most part. Right? So, so what's happening in fact is the machine learning for the most part like you know the traditional machine learning is going away and integration is becoming more and more important right so the success of this process depends on using the right patterns and also knowing which pattern to use and which pattern not to use right so we have in our AI strategy there are three core patterns that we have identified and rest of it is basically you know things that are built on top of it. These are the core patterns in Genai. So let's go through them. By the way these have been covered extensively in the lab session. So I've just got like two slides on this. First is a genai integration. So this is the one where you have a call to an geni API right nothing but that. So this pattern itself can support several use cases such as text summarization, sentiment analysis, email drafting and so on. Right? Then you get to the situation where the models are not aware of the uh you know your data.""]","The integration of AI components is crucial in the development of specialized AI solutions as it is primarily an integration problem. The success of this process depends on using the right patterns and knowing which patterns to use or avoid. In the AI strategy, three core patterns have been identified, particularly in GenAI. The first pattern is GenAI integration, which involves a call to a GenAI API and supports several use cases such as text summarization, sentiment analysis, and email drafting.",single_hop_specific_query_synthesizer
Waht is the purpsoe of MCP in AI applicatoins and how does it standardize the interaciton with external tools?,"[""it will go and do a search on the internet and it creates a personalized profile and and that agent uses two tools because remember the agents can uh you know interact with tools and perform actions. The first one is you call the surfer API where you will get set of links related to me right so I do a Google and then get a set of links and then you go and scrape the content which is what the second one do it's called scraper web scraper API right so this is not just two calls it happens times until it uh reset reaches its goal right so the next thing I want to talk about is multiple multi-agent systems but before that I want to briefly touch on MCP uh because this is something that we you know we all are aware of and we've discussed extensively in the AI labs now we know that there's an agent and there's set of tools which the agent is interacting with right so the problem that the MCP solves is MCP standardizes the way in which the AI applications s interact with these external tools, right? Uh now you can see the architecture here. So MCP has concepts like tools which is the same as the zoom tool that we were talking about resources prompts and and so on. We've discussed these things in the lab, right? So so uh so it's a specification and it introduces two new components to your agentic application. Uh first one is you call the MCP client right which the MCP host connect to.""]","The MCP standardizes the way in which AI applications interact with external tools. It introduces two new components to agentic applications, including the MCP client, which connects to the MCP host.",single_hop_specific_query_synthesizer
"How does VS Code facilitate the software development lifecycle within SO2's internal developer platform, and what steps are involved in deploying a service to Coro?","[""SO2's internal developer platform. Right. So and then we've gone and uh you know uh installed that one in VS code. So it is basically driving the full you know life cycle of this software development. So here what happens is you go we have gone and develop a service. Okay it's gone that's fine u and you want to uh then push this service to coro right so it then does various tests. Have I logged into Coro? Does the project exist? If not, let's create it and does the component exist? If not, let's create the component. So, and then, you know, let's get the build pack and so on. So, it takes you through all of those steps and finally it will push to Coro and then you can deploy it there. Right? So, so we've gone from Genai to rags to agents to MCP. Now let's get to uh multi-agent systems, right? So if you take a look at a single agent, yes, they work fine. So what happens is the systems become bigger and bigger, right? So the then you want you get to a situation where you need to connect this agent to more and more tools. This works actually for many use cases.""]","VS Code is used within SO2's internal developer platform to drive the full lifecycle of software development. The process involves developing a service, pushing it to Coro, conducting various tests such as checking if the user is logged into Coro, verifying the existence of the project and component, and creating them if necessary. It also involves obtaining the build pack and finally pushing the service to Coro for deployment.",single_hop_specific_query_synthesizer
What coro copilot do and how it help with choreo platform?,"[""to invoke next. Now this supervisor agent which is the the top level agent, it can be a full react agent like you know we we we we spoke about react in the lab session agent that will reason and act. It has the full reasoning loop or it can be just it can just be a router right simple prompt and describe if you get this condition you send it to that agent and otherwise send it there right now also within this we are seeing two variants. So this variant is how you does the handoff. So one type of handoff is agent to agent handoff where you give the sub agent the full control and you have to pass the full context uh and then sub agent can then uh will have access to all the memory it can control everything. So it's like one pattern we are seeing. The other one is agent as a tool right. So, so this is just the tool calling. The only thing is agent is a tool in this case. So, this way you don't give the full control and also you only give specific uh sort of pass specific uh inputs and outputs. Right? Okay. So, this is a uh this is some I don't have time to do a demo on this. This is one of the co-pilots that we have built. So, this is coro copilot. By the way, we are revamping this and there's another version that is coming up. What coro copilot does is it will let you interact with the coro platform. So we have had like several sessions on choreo. You can ask about the projects documentation, ask about like what services are having issues and so on. Right?""]","Coro copilot lets you interact with the coro platform, allowing you to ask about the projects documentation and inquire about what services are having issues.",single_hop_specific_query_synthesizer
What rags do in coro platform?,"[""let you interact with the coro platform. So we have had like several sessions on choreo. You can ask about the projects documentation, ask about like what services are having issues and so on. Right? So uh if you take a look at the architecture for this one, this actually follows the supervisor pattern that we were talking about. So uh so you have the first interaction with the user is with the the supervisor agent, right? uh uh and that will then delegate the task to very much domain specific set of agents. So coro we have observability coro we have marketplace coro we have testing lot of things right. So these specialized agents in fact the the team that builds that feature can uh is the team that is more capable of developing that specific. So there's if there's an observability team of course they can work with the II team as well they can they are the best teams to write the prompts to this agent right so what it happens is so if you take a look at one of these agents for example observability agents coro has lot of internal APIs right uh so it connects to those internal APIs and get the data out and also can so in observability case there's no action performance performing it's basically the retrieval but when it comes to other things like deployment that can also be done right so right so we've looked at uh geni uh rags agents mcp right and then uh multi- aent system so there are clearly we are seeing patterns Right. Okay.""]",The context does not provide specific information about what 'rags' do in the coro platform.,single_hop_specific_query_synthesizer
What ACP do?,"[""things like deployment that can also be done right so right so we've looked at uh geni uh rags agents mcp right and then uh multi- aent system so there are clearly we are seeing patterns Right. Okay. So the other topic that is becoming important is agent to agent communication. Right. So uh so there are standard protocols that are coming up right. Uh which that tries to standardize the agentto agent communication like how MCP standardized the AI applications to tools communication. So M MCP complements agent to agent communication right now. Uh again these things are still evolving. So there's number of protocols that are there. So one is uh uh A2A which is probably the most uh popular one right by Google and then there's ACP agent communication protocol by IBM and there are few other protocols as well. So so let's try to understand what problem that A2A or a these agentto agent communication protocols try to solve. So I'm not going to go to the go to lot of details but I just want to give a high level you know idea about that. So if you are building a multi- aent system which we saw before you have multiple agents communicating in you know different ways. Uh now one agent does not know what the other agent does right. So that problem is there. For example, uh what skill that this other agent has, what data format that I need to send it to, right? Uh and what it what does it return? What are the data types? Is it text, video, uh voice and so on, right?""]","ACP, or agent communication protocol by IBM, is one of the protocols that standardizes agent-to-agent communication, addressing issues like understanding what skills other agents have, the data format needed for communication, and the types of data returned.",single_hop_specific_query_synthesizer
What is the purpose of A2A in agent communication?,"["", uh what skill that this other agent has, what data format that I need to send it to, right? Uh and what it what does it return? What are the data types? Is it text, video, uh voice and so on, right? So this is where the uh A2A comes in. Uh by the way this is only one specific protocol. So A2A standardizes agentto agent communication and it A2A has uh various set of features to do this. First of all, it has a standardized communication the transport protocol which is JSNRPC and also there is other capabilities in A2A specification which will let you know other agents to get to know about one specific agent. So for example in A2A there is a concept called agent card where you can go and give a name description URL v version skills and ID description all of those stuff right uh so that is how uh A2A works so let me actually skip these slides I want to try to conclude this uh one properly right so let's try to uh summarize since we are getting to the end of the presentation right so we started off with jai right simple integrations and that's it and that wasn't enough then came the the rag which will let you ground the answers with the real data soon we needed agents right and uh okay by the way MCP came recently but multi- aents were there before so it's not exactly this Right. Um I'm trying to build the story from complexity smallest complexity to bigger. Right. So yes, MCP was there. MCP standardizes how the AI applications not necessarily agents.""]","A2A standardizes agent-to-agent communication by providing a standardized communication transport protocol, which is JSNRPC. It also includes features like the agent card, where you can provide a name, description, URL, version, skills, and ID description for agents.",single_hop_specific_query_synthesizer
